file,text_cleaned,text_lemm,text_stem,field
2013-54214-13_NoRestriction,Установки поверочные универсальные УПУ-АТ предназначены для воспроизведения и измерения массы и объема жидкости.,установка поверочный универсальный [UNK] ат предназначить для воспроизведение и измерение масса и объём жидкость,установк поверочн универсальн [UNK] ат предназнач для воспроизведен и измерен масс и объем жидкост,объемы жидкости
2013-54215-13_NoRestriction,"Весы конвейерные Multibelt (далее - весы) предназначены для измерения массы сыпу­чих материалов, транспортируемых конвейерной лентой.",вес [UNK] далее вес предназначить для измерение масса [UNK] [UNK] материал [UNK] [UNK] [UNK],вес [UNK] дал вес предназнач для измерен масс [UNK] [UNK] материал [UNK] [UNK] [UNK],весы автомобильные и вагонные
2013-54216-13_NoRestriction,Комплект мер для поверки систем оптических координатно-измерительных топометрических ATOS (комплект мер) предназначены для передачи единицы длины в области измерений геометрических параметров отклонений формы и взаимного расположения поверхностей.,комплект мера для поверка система оптический координатно измерительный [UNK] комплект мера предназначить для передача единица длина в область измерение геометрический параметр отклонение форма и взаимный расположение поверхность,комплект мер для поверк сист оптическ координатн измерительн [UNK] комплект мер предназнач для передач единиц длин в област измерен геометрическ параметр отклонен форм и взаимн расположен поверхн,
2013-54217-13_NoRestriction,Установка для измерений радиолокационных характеристик пленок «Гусь-5М» (далее установка) предназначена для измерений модуля коэффициентов отражения и прохождения,установка для измерение [UNK] характеристика плёнка [UNK] м далее установка предназначить для измерение модуль коэффициент отражение и [UNK],установк для измерен [UNK] характеристик [UNK] [UNK] м дал установк предназнач для измерен модул коэффициент отражен и [UNK],
2013-54219-13_NoRestriction,Приборы для измерений параметров шероховатости моделей HOMMEL-ETAMIC W55 (далее - приборы) предназначены для измерений параметров шероховатости и волнистости различных деталей в цехах и лабораториях промышленных предприятий машиностроительного комплекса.,прибор для измерение параметр шероховатость модель далее прибор предназначить для измерение параметр шероховатость и [UNK] различный деталь в цех и лаборатория промышленный предприятие [UNK] комплекс,прибор для измерен параметр шероховат модел дал прибор предназнач для измерен параметр шероховат и [UNK] различн детал в цех и лаборатор промышлен предприят [UNK] комплекс,
2013-54220-13_NoRestriction,"Машины универсальные испытательные Z3 (далее по тексту - машины) предназначены для измерений величины силы и деформации при испытании образцов конструкционных материалов (металлы, пластмассы, резина и др.) и изделий (пружины, трубы и др.) в режиме растяжения, сжатия, изгиба и др.",машина универсальный испытательный далее по текст машина предназначить для измерение величина сила и деформация при испытание образец [UNK] материал [UNK] [UNK] [UNK] и др и изделие пружина труба и др в режим растяжение сжатие изгиб и др,машин универсальн испытательн дал по текст машин предназнач для измерен величин сил и деформац при испытан образц [UNK] материал металл пластмасс [UNK] и др и издел пружин труб и др в режим растяжен сжат изгиб и др,испытание образцов
2013-54221-13_NoRestriction,Толщиномеры магнитные Magna-Mike 8600 (далее - толщиномеры) предназначены для измерений толщины изделий из неферромагнитных материалов.,[UNK] магнитный далее [UNK] предназначить для измерение толщина изделие из [UNK] материал,толщиномер магнитн дал толщиномер предназнач для измерен толщин издел из [UNK] материал,
2013-54222-13_NoRestriction,"Весы вагонные DGW-M (далее - весы) предназначены для:-  повагонного статического взвешивания порожних и груженых вагонов с сухими сыпучими, твердыми, а также жидкими грузами;-  повагонного взвешивания в движении порожних и груженых вагонов в составе без расцепки и составов в целом с сухими сыпучими, твердыми, а также жидкими грузами любой вязкости.",вес [UNK] далее вес предназначить для [UNK] статический взвешивание [UNK] и [UNK] вагон с сухой сыпучий твёрдый а также жидкий груз [UNK] взвешивание в движение [UNK] и [UNK] вагон в состав без [UNK] и состав в целое с сухой сыпучий твёрдый а также жидкий груз любой вязкость,вес вагон дал вес предназнач для [UNK] статическ взвешиван [UNK] и [UNK] вагон с сух сыпуч тверд а такж жидк груз [UNK] взвешиван в движен [UNK] и [UNK] вагон в состав без [UNK] и состав в цел с сух сыпуч тверд а такж жидк груз люб вязкост,
2013-54235-13_NoRestriction,"Системы газоаналитические POLYTRON-REGARD предназначены для автоматического непрерывного измерения объемной доли кислорода и вредных газов и паров в воздушных сре­дах, а также довзрывных концентраций горючих газов и паров горючих жидкостей в смеси с воздухом во взрывоопасных зонах.",система газоаналитический предназначить для автоматический непрерывный измерение объёмный доля кислород и вредный газ и пар в воздушный [UNK] [UNK] а также [UNK] концентрация горючий газ и пар горючий жидкость в смесь с воздух во взрывоопасный зона,систем газоаналитическ предназнач для автоматическ непрерывн измерен объемн дол кислород и вредн газ и пар в воздушн [UNK] [UNK] а такж [UNK] концентрац горюч газ и пар горюч жидкост в смес с воздух во взрывоопасн зон,
2013-54237-13_NoRestriction,"Виброанализатор VIBROCONTROL 1000 (далее виброанализатор) предназначен для из­мерения, обработки и регистрации (накопления) информации о виброскорости корпусов под­шипников основных узлов установки подготовки пылеугольного топлива (ПУТ №3-5) ДЦ №1 ОАО «Новолипецкий металлургический комбинат».",[UNK] далее [UNK] предназначить для из мерения обработка и регистрация накопление информация о виброскорости корпус под [UNK] основный узел установка [UNK] пылеугольный топливо пут [UNK] оао [UNK] металлургический комбинат,виброанализатор дал виброанализатор предназнач для из мерен обработк и регистрац накоплен информац о виброскор корпус под [UNK] основн узл установк [UNK] пылеугольн топлив пут [UNK] оа [UNK] металлургическ комбинат,
2013-54238-13_NoRestriction,Колонки раздаточные сжатого газа Global Star CNG предназначены для измерений массы сжатого природного газа по ГОСТ 27577-2000 при заправке транспортных средств.,колонка [UNK] сжатый газ предназначить для измерение масса сжатый природный газ по гост при заправка транспортный средство,колонк [UNK] сжат газ предназнач для измерен масс сжат природн газ по гост при заправк транспортн средств,
2013-54239-13_NoRestriction,Комплексы автономные мобильные гидрологические Q-Boat (далее - комплексы Q-Boat) предназначены для измерений скоростей водного потока и глубин водных объектов.,комплекс [UNK] мобильный [UNK] далее комплекс предназначить для измерение скорость водный поток и глубина водный объект,комплекс автономн мобильн [UNK] дал комплекс предназнач для измерен скорост водн поток и глубин водн объект,
2013-54240-13_NoRestriction,"Газосигнализатор ГСБ-М предназначен для контроля окружающего воздуха на уровне 1 ПДКР.З. с целью обнаружения в нём паров зарина, зомана и вещества типа Vx (пары ФОВ) на объектах по уничтожению химического оружия.",газосигнализатор [UNK] м предназначить для контроль окружать воздух на уровень [UNK] [UNK] с цель обнаружение в н м пар [UNK] [UNK] и вещество тип пара [UNK] на объект по [UNK] химический [UNK],газосигнализатор [UNK] м предназнач для контрол окружа воздух на уровн [UNK] [UNK] с цел обнаружен в н м пар [UNK] [UNK] и веществ тип пар [UNK] на объект по [UNK] химическ [UNK],
2013-54241-13_NoRestriction,"Анализаторы жидкости моделей 3200М, 3200Р, 3200I, 3200С, 3200D (далее - анализаторы) предназначены для измерения рН, окислительно-восстановительного потенциала (Eh), рХ (Na+, NH4+, F-), удельной электрической проводимости (УЭП) и общего солесодержания жидких сред (TDS), массовой концентрации кислорода (DO) в жидких средах с одновременным измерением температуры и температурной компенсацией результатов измерений.",анализатор жидкость модель м р с далее анализатор предназначить для измерение рн окислительно восстановительный потенциал [UNK] удельный электрический проводимость [UNK] и общий [UNK] жидкий среда массовый концентрация кислород в жидкий средах с [UNK] измерение температура и температурный [UNK] результат измерение,анализатор жидкост модел м р с дал анализатор предназнач для измерен рн окислительн восстановительн потенциа [UNK] удельн электрическ проводим [UNK] и общ [UNK] жидк сред массов концентрац кислород в жидк сред с одновремен измерен температур и температурн [UNK] результат измерен,химические анализаторы
2013-54242-13_NoRestriction,"Газоанализаторы SERVOPRO FID (далее - газоанализаторы) предназначены для определения объемной доли суммы углеводородов в аргоне, гелии, кислороде, азоте и воздухе в пересчете на метан.",газоанализатор далее газоанализатор предназначить для определение объёмный доля сумма углеводород в [UNK] [UNK] кислород азот и воздух в пересчёт на метан,газоанализатор дал газоанализатор предназнач для определен объемн дол сумм углеводород в [UNK] [UNK] кислород азот и воздух в пересчет на мета,
2013-54243-13_NoRestriction,Система измерений количества и показателей качества нефти на ПСП «Черпаю» (далее - система) предназначена для автоматизированных измерений массы нефти.,система измерение количество и показатель качество нефть на псп [UNK] далее система предназначить для автоматизированный измерение масса нефть,систем измерен количеств и показател качеств нефт на псп [UNK] дал систем предназнач для автоматизирова измерен масс нефт,качество и масса нефти
2013-54244-13_NoRestriction,"Автотопливозаправщики УСТ54533, УСТ 54535, УСТ 54537 (далее - АТЗ) предназначены для транспортирования, кратковременного хранения светлых нефтепродуктов c плотностью не более 0,84 г/см3 и механизированной заправки техники с измерением выдаваемого объема топлива.",[UNK] уст уст уст далее [UNK] предназначить для транспортирование кратковременный хранение светлый нефтепродукт плотность не более г см и [UNK] заправка [UNK] с измерение [UNK] объём топливо,[UNK] уст уст уст дал [UNK] предназнач для транспортирован кратковремен хранен светл нефтепродукт плотност не бол г см и [UNK] заправк [UNK] с измерен выдава объем топлив,
2013-54245-13_NoRestriction,"Система измерительная массового расхода (массы) легкого газойля Завода Бензинов ОАО «ТАИФ-НК» (далее - ИС) предназначена для автоматизированного измерения, регистрации, хранения, индикации массового расхода (массы), давления и температуры легкого газойля (далее - ЛГ) при учетных операциях Завода Бензинов ОАО «ТАИФ-НК».",система измерительный массовый расход масса лёгкий газойль завод бензин оао таиф нк далее ис предназначить для автоматизированный измерение регистрация хранение индикация массовый расход масса давление и температура лёгкий газойль далее [UNK] при учётный операция завод бензин оао таиф нк,систем измерительн массов расход масс легк газойл завод бензин оа таиф нк дал ис предназнач для автоматизирова измерен регистрац хранен индикац массов расход масс давлен и температур легк газойл дал [UNK] при учетн операц завод бензин оа таиф нк,
2013-54246-13_NoRestriction,"Счетчики жидкости лопастные МКА 3350 А1 предназначены для измерения объема светлых нефтепродуктов, протекающих по трубопроводу.",счётчик жидкость [UNK] [UNK] а предназначить для измерение объём светлый нефтепродукт протекать по трубопровод,счетчик жидкост [UNK] [UNK] а предназнач для измерен объем светл нефтепродукт протека по трубопровод,объемы жидкости
2013-54247-13_NoRestriction,"Установка поверки счетчиков жидкости УПС 3500-0,04 предназначена для измерений объема жидкости при проведении поверки счетчиков нефтепродуктов.",установка поверка счётчик жидкость упс предназначить для измерение объём жидкость при проведение поверка счётчик нефтепродукт,установк поверк счетчик жидкост упс предназнач для измерен объем жидкост при проведен поверк счетчик нефтепродукт,объемы жидкости
2013-54250-13_NoRestriction,"Измерители параметров и качества электрической энергии многофункциональные NEXUS 1500 (далее - измерители) трансформаторного включения предназначены для измерения и учета активной, реактивной, полной энергии и мощности в трехфазных трёх- и четырёхпроводных цепях переменного тока; измерения параметров трехфазной энергетической сети (токов, напряжений, частоты, cos ф) и основных показателей качества электрической энергии (ПКЭ).",измерители параметр и качество электрический энергия многофункциональный далее измерители трансформаторный включение предназначить для измерение и учёт активный реактивный полный энергия и мощность в трехфазных тр х и четыр хпроводных цепь переменный ток измерение параметр трехфазной энергетический сеть ток напряжение частота ф и основный показатель качество электрический энергия пкэ,измерител параметр и качеств электрическ энерг многофункциональн дал измерител трансформаторн включен предназнач для измерен и учет активн реактивн полн энерг и мощност в трехфазн тр х и четыр хпроводн цеп перемен ток измерен параметр трехфазн энергетическ сет ток напряжен частот ф и основн показател качеств электрическ энерг пкэ,счетчики электрической энергии N-фазные
2013-54251-13_NoRestriction,"Система автоматизированная информационно-измерительная коммерческого учета электрической энергии и мощности ОАО «Компонент» (далее - АИИС КУЭ) предназначена для измерения активной и реактивной электрической энергии и мощности, потребленной от­дельными технологическими объектами ОАО «Компонент», сбора, обработки, хранения и отображения полученной информации.",система автоматизировать информационно измерительный коммерческий учёт электрический энергия и мощность оао компонент далее аиис куэ предназначить для измерение активный и реактивный электрический энергия и мощность потребить от [UNK] технологический объект оао компонент сбор обработка хранение и отображение получить информация,систем автоматизирова информацион измерительн коммерческ учет электрическ энерг и мощност оа компонент дал аиис куэ предназнач для измерен активн и реактивн электрическ энерг и мощност потреблен от [UNK] технологическ объект оа компонент сбор обработк хранен и отображен получен информац,коммерческий учет электроэнергии 2
2013-54252-13_NoRestriction,"Автотопливозаправщики (АТЗ) предназначены для транспортировки и механизированной заправки нефтепродуктами плотностью не более 0,86 г/м3 автомобилей, дорожно-строительных машин на месте их работы с одновременным учетом объема выдаваемого топлива. Автоцистерны (АЦ) предназначены для транспортировки, временного хранения и перекачивания нефтепродуктов плотностью не более 0,86 г/м3.",[UNK] [UNK] предназначить для транспортировка и [UNK] заправка нефтепродукт плотность не более г м автомобиль [UNK] строительный машина на место их работа с [UNK] учёт объём [UNK] топливо [UNK] [UNK] предназначить для транспортировка временной хранение и [UNK] нефтепродукт плотность не более г м,[UNK] [UNK] предназнач для транспортировк и [UNK] заправк нефтепродукт плотност не бол г м автомобил дорожн строительн машин на мест их работ с одновремен учет объем выдава топлив [UNK] [UNK] предназнач для транспортировк времен хранен и [UNK] нефтепродукт плотност не бол г м,
2013-54253-13_NoRestriction,Установка поверочная расходомеров-счетчиков газа УПРСГ предназначена для вос­произведения объемного расхода газа.,установка поверочный расходомер счётчик газ [UNK] предназначить для вос произведение объёмный расход газ,установк поверочн расходомер счетчик газ [UNK] предназнач для вос произведен объемн расход газ,
2013-54256-13_NoRestriction,"Колонки топливораздаточные SK700-2/Frontier Eu предназначены для измерений объёма топлива (бензин, керосин, дизельное топливо, биотопливо) с вязкостью от 0,55 до 40 мм2/с (сСт).",колонка топливораздаточные предназначить для измерение объ ма топливо бензин керосин дизельный топливо [UNK] с вязкость от до мм с сст,колонк топливораздаточн предназнач для измерен об ма топлив бензин керосин дизельн топлив [UNK] с вязкост от до мм с сст,колонки топливораздаточные
2013-54257-13_NoRestriction,"Система автоматизированная информационно-измерительная коммерческого учета электроэнергии (АИИС КУЭ) ОАО «Мосэнергосбыт» (филиал №1 ЗАО МПБК «Очаково», г. Краснодар) (далее по тексту - АИИС КУЭ) предназначена для измерения активной и реактив­ной электроэнергии, потребленной за установленные интервалы времени, сбора, обработки, хранения и передачи полученной информации.",система автоматизировать информационно измерительный коммерческий учёт электроэнергия аиис куэ оао [UNK] филиал зао [UNK] [UNK] г [UNK] далее по текст аиис куэ предназначить для измерение активный и [UNK] ной электроэнергия потребить за установить интервал время сбор обработка хранение и передача получить информация,систем автоматизирова информацион измерительн коммерческ учет электроэнерг аиис куэ оа [UNK] филиа за [UNK] [UNK] г [UNK] дал по текст аиис куэ предназнач для измерен активн и [UNK] но электроэнерг потреблен за установлен интервал времен сбор обработк хранен и передач получен информац,коммерческий учет электроэнергии 2
2013-54258-13_NoRestriction,"Система автоматизированная информационно-измерительная коммерческого учета электрической энергии (мощности) АИИС КУЭ ОАО «Генерирующая компания». Набереж­ночелнинская ТЭЦ (в дальнейшем - АИИС КУЭ ОАО «Генерирующая компания». Набереж­ночелнинская ТЭЦ) предназначена для измерений, коммерческого (технического) учета элек­трической энергии (мощности), а также автоматизированного сбора, накопления, обработки, хранения и отображения информации об энергоснабжении.",система автоматизировать информационно измерительный коммерческий учёт электрический энергия мощность аиис куэ оао генерировать компания [UNK] [UNK] тэц в дальнейший аиис куэ оао генерировать компания [UNK] [UNK] тэц предназначить для измерение коммерческий технический учёт элек [UNK] энергия мощность а также автоматизировать сбор накопление обработка хранение и отображение информация об энергоснабжение,систем автоматизирова информацион измерительн коммерческ учет электрическ энерг мощност аиис куэ оа генерирующ компан [UNK] [UNK] тэц в дальн аиис куэ оа генерирующ компан [UNK] [UNK] тэц предназнач для измерен коммерческ техническ учет элек трическ энерг мощност а такж автоматизирова сбор накоплен обработк хранен и отображен информац об энергоснабжен,коммерческий учет электроэнергии 2
2013-54259-13_NoRestriction,"Система автоматизированная информационно-измерительная коммерческого учета электрической энергии и мощности АИИС КУЭ «Южноуральской ГРЭС-2» (в дальнейшем - АИИС КУЭ «Южноуральской ГРЭС-2») предназначена для измерений, коммерческого (тех­нического) учета электрической энергии (мощности), а также автоматизированного сбора, накопления, обработки, хранения и отображения информации об энергоснабжении.",система автоматизировать информационно измерительный коммерческий учёт электрический энергия и мощность аиис куэ [UNK] грэс в дальнейший аиис куэ [UNK] грэс предназначить для измерение коммерческий тот [UNK] учёт электрический энергия мощность а также автоматизировать сбор накопление обработка хранение и отображение информация об энергоснабжение,систем автоматизирова информацион измерительн коммерческ учет электрическ энерг и мощност аиис куэ [UNK] грэс в дальн аиис куэ [UNK] грэс предназнач для измерен коммерческ [UNK] [UNK] учет электрическ энерг мощност а такж автоматизирова сбор накоплен обработк хранен и отображен информац об энергоснабжен,коммерческий учет электроэнергии 2
2013-54260-13-1_NoRestriction,"Камеры тепловизионные FLIR модели A305sc, SC305, A325sc, SC325, A645sc, SC645, A655sc, SC655, T420, T420bx, T440, T440bx, T450sc, T650sc, К40, К50 предназначены для не­контактного измерения пространственного распределения температуры поверхностей твердых (сыпучих) тел, газовых струй и воды по их собственному тепловому излучению и отображения этого распределения на экране жидко-кристаллического дисплея или компьютера.",камера тепловизионный модель к к предназначить для не контактный измерение пространственный распределение температура поверхность твёрдый сыпучий тело газовый [UNK] и вода по их собственный тепловой излучение и отображение этот распределение на экран жидко кристаллический дисплей или компьютер,камер тепловизион модел к к предназнач для не контактн измерен пространствен распределен температур поверхн тверд сыпуч тел газов [UNK] и вод по их собствен теплов излучен и отображен эт распределен на экран жидк кристаллическ диспле ил компьютер,термопреобразователи
2013-54260-13-2_NoRestriction,"Камеры тепловизионные FLIR модели A305sc, SC305, A325sc, SC325, A645sc, SC645, A655sc, SC655, T420, T420bx, T440, T440bx, T450sc, T650sc, К40, К50 предназначены для не­контактного измерения пространственного распределения температуры поверхностей твердых (сыпучих) тел, газовых струй и воды по их собственному тепловому излучению и отображения этого распределения на экране жидко-кристаллического дисплея или компьютера.",камера тепловизионный модель к к предназначить для не контактный измерение пространственный распределение температура поверхность твёрдый сыпучий тело газовый [UNK] и вода по их собственный тепловой излучение и отображение этот распределение на экран жидко кристаллический дисплей или компьютер,камер тепловизион модел к к предназнач для не контактн измерен пространствен распределен температур поверхн тверд сыпуч тел газов [UNK] и вод по их собствен теплов излучен и отображен эт распределен на экран жидк кристаллическ диспле ил компьютер,термопреобразователи
2013-54262-13_NoRestriction,Микроскопы электронные растровые настольные JCM-6000 (далее - микроскопы) предназначены для количественного морфологического анализа и измерений линейных размеров микрорельефа поверхности твердотельных структур.,микроскоп электронный [UNK] [UNK] далее микроскоп предназначить для количественный [UNK] анализ и измерение линейный размер [UNK] поверхность [UNK] [UNK],микроскоп электрон [UNK] [UNK] дал микроскоп предназнач для количествен [UNK] анализ и измерен линейн размер [UNK] поверхн [UNK] [UNK],
2013-54263-13,"          Система  автоматизированная  информационно-измерительная  коммерческого  учета электроэнергии  (АИИС  КУЭ)  ОАО  ХК  «Якутуголь»  (далее  по  тексту -  АИИС  КУЭ) предназначена для измерения активной и реактивной электроэнергии (мощности), а также для автоматизированного  сбора,  обработки,  хранения  и  отображения  полученной  информации. Выходные  данные  системы  могут  быть  использованы  для  коммерческих  расчетов  с поставщиками  и  потребителями  электроэнергии  и  оперативного  управления  потреблением электроэнергией. ",система автоматизировать информационно измерительный коммерческий учёт электроэнергия аиис куэ оао [UNK] [UNK] далее по текст аиис куэ предназначить для измерение активный и реактивный электроэнергия мощность а также для автоматизированный сбор обработка хранение и отображение получить информация выходной данные система мочь быть использовать для коммерческий расчёт с поставщик и потребитель электроэнергия и оперативный управление потребление электроэнергия,систем автоматизирова информацион измерительн коммерческ учет электроэнерг аиис куэ оа [UNK] [UNK] дал по текст аиис куэ предназнач для измерен активн и реактивн электроэнерг мощност а такж для автоматизирова сбор обработк хранен и отображен получен информац выходн дан систем могут быт использова для коммерческ расчет с поставщик и потребител электроэнерг и оперативн управлен потреблен электроэнерг,коммерческий учет электроэнергии 2
2013-54264-13_NoRestriction,"Система автоматизированная информационно-измерительная коммерческого учета электроэнергии (АИИС КУЭ) ОАО «СУАЛ» - филиал «Иркутский алюминиевый завод» (далее по тексту - АИИС КУЭ) предназначена для измерения активной и реактивной электроэнергии (мощности), а также для автоматизированного сбора, обработки, хранения и отображения полученной информации. Выходные данные системы могут быть использованы для коммерческих расчетов с поставщиками и потребителями электроэнергии и оперативного управления потреблением электроэнергией.",система автоматизировать информационно измерительный коммерческий учёт электроэнергия аиис куэ оао суал филиал иркутский алюминиевый завод далее по текст аиис куэ предназначить для измерение активный и реактивный электроэнергия мощность а также для автоматизированный сбор обработка хранение и отображение получить информация выходной данные система мочь быть использовать для коммерческий расчёт с поставщик и потребитель электроэнергия и оперативный управление потребление электроэнергия,систем автоматизирова информацион измерительн коммерческ учет электроэнерг аиис куэ оа суа филиа иркутск алюминиев завод дал по текст аиис куэ предназнач для измерен активн и реактивн электроэнерг мощност а такж для автоматизирова сбор обработк хранен и отображен получен информац выходн дан систем могут быт использова для коммерческ расчет с поставщик и потребител электроэнерг и оперативн управлен потреблен электроэнерг,коммерческий учет электроэнергии 2
2013-54265-13_NoRestriction,"Расходомеры-счетчики электромагнитные КАРАТ-551 (в дальнейшем расходомеры) предназначены для измерений объема и объемного расхода холодной или горячей воды, а также других электропроводящих жидкостей и преобразования этих величин для технологического и коммерческого учета как в составе измерительных систем, так и автономно.",расходомер счетчики электромагнитный [UNK] в дальнейший расходомер предназначить для измерение объём и объёмный расход холодный или горячий вода а также других электропроводящий жидкость и преобразование этот величина для технологический и коммерческий учёт как в состав измерительный система так и автономно,расходомер счетчик электромагнитн [UNK] в дальн расходомер предназнач для измерен объем и объемн расход холодн ил горяч вод а такж друг электропроводя жидкост и преобразован эт величин для технологическ и коммерческ учет как в состав измерительн сист так и автономн,расходометры
